ID, SourceCurrency, DestinationCurrency, SourceAmount
1, USD, EUR,1000
2, EUR, AUD,2050.5
3, USD, EUR,3101
4, EUR, AUD,4151.5
5, USD, EUR,5202
6, EUR, AUD,6252.5
7, USD, EUR,7303
8, EUR, AUD,8353.5
9, USD, EUR,9404
10, EUR, AUD,10454.5
11, USD, EUR,11505
12, EUR, AUD,12555.5
13, USD, EUR,13606
14, EUR, AUD,14656.5
15, USD, EUR,15707
16, EUR, AUD,16757.5
17, USD, EUR,17808
18, EUR, AUD,18858.5
19, USD, EUR,19909
20, EUR, AUD,20959.5
21, USD, EUR,22010
22, EUR, AUD,23060.5
23, USD, EUR,24111
24, EUR, AUD,25161.5
25, USD, EUR,26212
26, EUR, AUD,27262.5
27, USD, EUR,28313
28, EUR, AUD,29363.5
29, USD, EUR,30414
30, EUR, AUD,31464.5
31, USD, EUR,32515
32, EUR, AUD,33565.5
33, USD, EUR,34616
34, EUR, AUD,35666.5
35, USD, EUR,36717
36, EUR, AUD,37767.5
37, USD, EUR,38818
38, EUR, AUD,39868.5
39, USD, EUR,40919
40, EUR, AUD,41969.5
41, USD, EUR,43020
42, EUR, AUD,44070.5
43, USD, EUR,45121
44, EUR, AUD,46171.5
45, USD, EUR,47222
46, EUR, AUD,48272.5
47, USD, EUR,49323
48, EUR, AUD,50373.5
49, USD, EUR,51424
50, EUR, AUD,52474.5
51, USD, EUR,53525
52, EUR, AUD,54575.5
53, USD, EUR,55626
54, EUR, AUD,56676.5
55, USD, EUR,57727
56, EUR, AUD,58777.5
57, USD, EUR,59828
58, EUR, AUD,60878.5
59, USD, EUR,61929
60, EUR, AUD,62979.5
61, USD, EUR,64030
62, EUR, AUD,65080.5
63, USD, EUR,66131
64, EUR, AUD,67181.5
65, USD, EUR,68232
66, EUR, AUD,69282.5
67, USD, EUR,70333
68, EUR, AUD,71383.5
69, USD, EUR,72434
70, EUR, AUD,73484.5
71, USD, EUR,74535
72, EUR, AUD,75585.5
73, USD, EUR,76636
74, EUR, AUD,77686.5
75, USD, EUR,78737
76, EUR, AUD,79787.5
77, USD, EUR,80838
78, EUR, AUD,81888.5
79, USD, EUR,82939
80, EUR, AUD,83989.5
81, USD, EUR,85040
82, EUR, AUD,86090.5
83, USD, EUR,87141
84, EUR, AUD,88191.5
85, USD, EUR,89242
86, EUR, AUD,90292.5
87, USD, EUR,91343
88, EUR, AUD,92393.5
89, USD, EUR,93444
90, EUR, AUD,94494.5
91, USD, EUR,95545
92, EUR, AUD,96595.5
93, USD, EUR,97646
94, EUR, AUD,98696.5
95, USD, EUR,99747
96, EUR, AUD,100797.5
97, USD, EUR,101848
98, EUR, AUD,102898.5
99, USD, EUR,103949
100, EUR, AUD,104999.5
101, USD, EUR,106050
102, EUR, AUD,107100.5
103, USD, EUR,108151
104, EUR, AUD,109201.5
105, USD, EUR,110252
106, EUR, AUD,111302.5
107, USD, EUR,112353
108, EUR, AUD,113403.5
109, USD, EUR,114454
110, EUR, AUD,115504.5
111, USD, EUR,116555
112, EUR, AUD,117605.5
113, USD, EUR,118656
114, EUR, AUD,119706.5
115, USD, EUR,120757
116, EUR, AUD,121807.5
117, USD, EUR,122858
118, EUR, AUD,123908.5
119, USD, EUR,124959
120, EUR, AUD,126009.5
121, USD, EUR,127060
122, EUR, AUD,128110.5
123, USD, EUR,129161
124, EUR, AUD,130211.5
125, USD, EUR,131262
126, EUR, AUD,132312.5
127, USD, EUR,133363
128, EUR, AUD,134413.5
129, USD, EUR,135464
130, EUR, AUD,136514.5
131, USD, EUR,137565
132, EUR, AUD,138615.5
133, USD, EUR,139666
134, EUR, AUD,140716.5
135, USD, EUR,141767
136, EUR, AUD,142817.5
137, USD, EUR,143868
138, EUR, AUD,144918.5
139, USD, EUR,145969
140, EUR, AUD,147019.5
141, USD, EUR,148070
142, EUR, AUD,149120.5
143, USD, EUR,150171
144, EUR, AUD,151221.5
145, USD, EUR,152272
146, EUR, AUD,153322.5
147, USD, EUR,154373
148, EUR, AUD,155423.5
149, USD, EUR,156474
150, EUR, AUD,157524.5
151, USD, EUR,158575
152, EUR, AUD,159625.5
153, USD, EUR,160676
154, EUR, AUD,161726.5
155, USD, EUR,162777
156, EUR, AUD,163827.5
157, USD, EUR,164878
158, EUR, AUD,165928.5
159, USD, EUR,166979
160, EUR, AUD,168029.5
161, USD, EUR,169080
162, EUR, AUD,170130.5
163, USD, EUR,171181
164, EUR, AUD,172231.5
165, USD, EUR,173282
166, EUR, AUD,174332.5
167, USD, EUR,175383
168, EUR, AUD,176433.5
169, USD, EUR,177484
170, EUR, AUD,178534.5
171, USD, EUR,179585
172, EUR, AUD,180635.5
173, USD, EUR,181686
174, EUR, AUD,182736.5
175, USD, EUR,183787
176, EUR, AUD,184837.5
177, USD, EUR,185888
178, EUR, AUD,186938.5
179, USD, EUR,187989
180, EUR, AUD,189039.5
181, USD, EUR,190090
182, EUR, AUD,191140.5
183, USD, EUR,192191
